genus,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage
Cryptophaea,lichenized,,
Cryptothecia,lichenized,,
Eremothecella,lichenized,,
Glomerulophoron,lichenized,,
Herpothallon,lichenized,,
Inoderma,lichenized,,
Leprantha,lichenized,,
Myriostigma,lichenized,,
Pachnolepia,lichenized,,
Reichlingia,lichenized,,
Snippocia,lichenized,,
Sporodophoron,lichenized,,
Stirtonia,lichenized,,
Tylophoron,lichenized,,
Chrysothrix,lichenized,,
Melarthonis,lichenized,,
Alyxoria,lichenized,,
Heterocyphelium,lichenized,,
Lecanographa,lichenized,,
Milospium,lichen_parasite,,
Mixtoconidium,lichen_parasite,,
Phacographa,lichen_parasite,,
Plectocarpon,lichen_parasite,,
Zwackhia,lichenized,,
Camanchaca,lichenized,,
Combea,lichenized,,
Dictyographa,lichenized,,
Dolichocarpus,lichenized,,
Fouragea,lichenized,,
Hubbsia,lichenized,,
Ingaderia,lichenized,,
Llimonaea,lichenized,,
Nyungwea,lichenized,,
Opegrapha,lichenized,,
Paraingaderia,lichenized,,
Paralecanographa,lichenized,,
Paraschismatomma,lichenized,,
Pentagenella,lichenized,,
Schizopelte,lichenized,,
Sclerophyton,lichenized,,
Sparria,lichenized,,
Ancistrosporella,lichenized,,
Austrographa,lichenized,,
Austroroccella,lichenized,,
Chiodecton,lichenized,,
Cresponea,lichenized,,
Crocellina,lichenized,,
Dendrographa,lichenized,,
Dichosporidium,lichenized,,
Dirina,lichenized,,
Diromma,lichenized,,
Enterodictyon,lichenized,,
Enterographa,lichenized,,
Erythrodecton,lichenized,,
Follmanniella,lichenized,,
Gorgadesia,lichenized,,
Graphidastra,lichenized,,
Gyrographa,lichenized,,
Gyronactis,lichenized,,
Halographis,lichenized,,
Haplodina,lichenized,,
Isalonactis,lichenized,,
Lecanactis,lichenized,,
